expression<br>english meaning, nepali expression<br> pronunciation
生まれる<br>to be born,जन्मिनु<br>janminu
"海<br>sea, beach",समुद्र<br>samudra
売る<br>to sell (v.t.),बेच्नु<br>bechnu
うるさい<br>noisy; annoying,हल्लाको; झर्को लाग्दो<br>hallako; jharko lagdo
"上着<br>coat, jacket",कोट<br>coat
絵<br>a painting; a picture; a drawing,तस्बिर; चित्र<br>tasbir; chitra
"映画<br>movie, film",चलचित्र; सिनेमा<br>chalchitra; cinema
"映画館<br>movie theater, cinema",सिनेमा हल<br>cinema hall
英語<br>English (language),अंग्रेजी<br>angreji
ええ<br>yes,हो<br>ho
駅<br>station,स्टेशन<br>station
エレベーター<br>elevator,लिफ्ट<br>lift
～円<br>Yen,येन<br>yen
鉛筆<br>pencil,सिसाकलम<br>sisakalam
お～<br>honorable ~ (honorific),आदरणीय<br>adaraniya
"美味しい<br>delicious, tasty",मिठो<br>mitho
多い<br>many; there are a lot,धेरै<br>dherai
"大きい<br>big, large",ठूलो<br>thulo
大きな<br>big,ठूलो<br>thulo
大勢<br>great number of people,धेरै मानिसहरू<br>dherai manisharu
お母さん<br>mother (formal),आमा<br>aama
"お菓子<br>confections, sweets, snack",मिठाई<br>mithai
お金<br>money,पैसा<br>paisa
"起きる<br>to get up (e.g., from sleeping); to happen",उठ्नु; हुनु<br>uthnu; hunu
置く<br>to put; to lay; to place,राख्नु<br>rakhnu
奥さん<br>(someone else's) wife (hon.),श्रीमती<br>shrimati
お酒<br>sake; alcohol,रक्सी<br>raksi
"お皿<br>plate, dish",थाली<br>thali
"伯父; 叔父さん<br>uncle, middle-aged man",काका; मामा<br>kaka; mama
"おじいさん<br>grandfather, male senior citizen",हजुरबुबा<br>hajurbuwa
"教える<br>to teach, to inform, to instruct",सिकाउनु; भन्नु<br>sikaunu; bhannu
"押す<br>to push, to press, to stamp (e.g., a passport)",थिच्नु<br>thichnu
遅い<br>slow; (to be) late,ढिलो; बिस्तारै<br>dhilo; bistarai
お茶<br>(green) tea,चिया<br>chiya
"お手洗い<br>toilet, restroom, bathroom (lit., a place to wash one's hands)",शौचालय<br>shauchalaya
お父さん<br>father (formal),बुबा<br>buwa
弟<br>younger brother,भाइ<br>bhai
"男<br>man, male",पुरुष; मान्छे<br>purush; manchhe
男の子<br>boy,केटा<br>keta
一昨日<br>the day before yesterday,अस्ति<br>asti
おととし<br>year before last,अस्तिको साल<br>astiko sal
大人<br>adult,वयस्क<br>bayaska
お腹<br>stomach,पेट<br>pet
"同じ<br>same, identical",उस्तै<br>ustai
お兄さん<br>(someone else's) older brother (formal),दाजु<br>daaju
お姉さん<br>older sister (formal),दिदी<br>didi
伯母さん; 叔母さん<br>aunt,काकी; मामी<br>kaki; mami
"おばあさん<br>grandmother, female senior-citizen",हजुरआमा<br>hajuraama
お風呂<br>a bath,नुहाउने ठाउँ<br>nuhaune thaaun
お弁当<br>a boxed lunch,खाजा बाकस<br>khaja bakas
"覚える<br>to learn, to commit to memory, to remember, to memorize",सम्झनु; याद गर्नु<br>samjhanu; yaad garnu
おまわりさん<br>policeman (friendly term),प्रहरी<br>prahari
重い<br>heavy; serious,गह्रौं; गम्भीर<br>gahrau; gambhir
"面白い<br>interesting, amusing",रमाइलो<br>ramailo
泳ぐ<br>to swim,पौडिनु<br>paudinu
降りる<br>to get off,ओर्लनु<br>orlanu
"終る<br>to finish, to close",सकिनु; सिद्धिनु<br>sakinu; siddhinu
音楽<br>Music,संगीत<br>sangeet
"女<br>woman, female",महिला; आइमाई<br>mahila; aimai
女の子<br>girl,केटी<br>keti
～回<br>counter for occurrences (~ times),पटक<br>patak
～階<br>counter for stories (floors) of a building,तल्ला<br>talla
外国<br>foreign country; abroad,विदेश<br>bidesh
外国人<br>foreigner,विदेशी<br>bideshi
"会社<br>company, corporation",कम्पनी<br>company
階段<br>stairs,सिँढी<br>sindhi
買い物<br>shopping,किनमेल<br>kinmel
買う<br>to buy,किन्नु<br>kinnu
返す<br>to return something,फर्काउनु<br>farkaunu
"帰る<br>to go back, to go home, to return",फर्कनु<br>farkanu
顔<br>face (body part),अनुहार<br>anuhaar
"かかる<br>it takes (amount of time, money) (v.i.)",लाग्नु<br>lagnu
鍵<br>a lock; a key,साँचो; ताल्चा<br>saancho; talcha
書く<br>to write,लेख्नु<br>lekhnu
学生<br>student,विद्यार्थी<br>bidyarthi
～か月<br>(number of) months,महिना<br>mahina
"掛ける<br>to put on (e.g., glasses); to hang (e.g., on a wall)",लगाउनु; झुन्ड्याउनु<br>lagaunu; jhundyaunu
"かける<br>to dial/call (e.g., phone); to sit down",फोन गर्नु; बस्नु<br>phone garnu; basnu
"傘<br>umbrella, parasol",छाता<br>chhata
貸す<br>to lend,उधारो दिनु<br>udharo dinu
"風<br>wind, breeze",हावा<br>hawa
"風邪<br>cold, flu",रुघा<br>rugha
方<br>-- honorific form for 人 (ひと) --; way of doing,तरिका; व्यक्ति<br>tarika; byakti
"家族<br>family, members of a family",परिवार<br>pariwar
片仮名<br>katakana,काताकाना<br>katakana
～月<br>month of year,महिना<br>mahina
学校<br>a school,विद्यालय; स्कूल<br>bidyalaya; school
カップ<br>cup,कप<br>cup
家庭<br>home; family,घरपरिवार<br>gharpariwar
"角<br>corner (e.g., desk, pavement)",कुना<br>kuna
"かばん<br>bag, basket",झोला<br>jhola
花瓶<br>(flower) vase,फूलदानी<br>phuldani
"かぶる<br>to wear, to put on (e.g., a hat on the head)",लगाउनु<br>lagaunu
紙<br>paper,कागज<br>kagaj
カメラ<br>camera,क्यामेरा<br>camera
火曜日<br>Tuesday,मंगलबार<br>mangalbar
辛い<br>hot and spicy; salty,पिरो; नुनिलो<br>piro; nunilo
体<br>body; health,शरीर<br>sharir
"借りる<br>to borrow, to owe",सापटी लिनु<br>sapati linu
～がる<br>feel,महसुस गर्नु<br>mahsus garnu
"軽い<br>light, non-serious, minor",हल्का<br>halka
カレー<br>curry (abbr. for curry and rice),तरकारी<br>tarkari
カレンダー<br>calendar,पात्रो<br>patro
川; 河<br>river,नदी; खोला<br>nadi; khola
～側<br>~ side,तर्फ; पट्टि<br>tarfa; patti
"可愛い<br>cute, adorable",प्यारो<br>pyaro
漢字<br>kanji; Chinese character,कान्जी<br>kanji
"木<br>tree, wood, timber",रूख; काठ<br>rukh; kath
黄色<br>yellow,पहेंलो<br>pahelo
黄色い<br>yellow,पहेंलो<br>pahelo
"消える<br>to vanish, to disappear",हराउनु<br>haraunu
"聞く<br>to hear, to listen, to ask",सुन्नु<br>sunnu
北<br>north,उत्तर<br>uttar
ギター<br>guitar,गिटार<br>guitar
"汚い<br>dirty, unclean, filthy",फोहोर<br>fohor
喫茶店<br>café,क्याफे<br>cafe
切手<br>postal (postage) stamps,टिकट<br>tikat
切符<br>a ticket,टिकट<br>tikat
昨日<br>yesterday,हिजो<br>hijo
九<br>nine,नौ<br>nau
牛肉<br>beef,गाईको मासु<br>gaaiko masu
牛乳<br>milk,दूध<br>dudh
"今日<br>today, this day",आज<br>aaja
教室<br>classroom,कक्षाकोठा<br>kaksha kotha
"兄弟<br>siblings (humble), brothers and sisters",दाजुभाइ<br>daajubhai
去年<br>last year,गत वर्ष<br>gata barsha
嫌い<br>dislike,मन नपर्ने<br>man naparne
切る<br>to cut; to hang up (a phone),काट्नु<br>katnu
着る<br>to put on (clothes above your waist); to wear,लगाउनु<br>lagaunu
"綺麗<br>pretty, clean, tidy",राम्रो; सफा<br>ramro; safa
キロ; キログラム<br>(abbr.) kilo (kilogram),किलो; किलोग्राम<br>kilo; kilogram
キロ; キロメートル<br>(abbr.) kilo (kilometer),किलो; किलोमिटर<br>kilo; kilometer
銀行<br>bank,बैंक<br>bank
金曜日<br>Friday,शुक्रबार<br>shukrabar
薬<br>medicine,औषधि<br>aushadhi
下さい<br>(with te-form verb) please do for me,दिनुहोस्<br>dinuhos
果物<br>fruit,फलफूल<br>phalphul
口<br>job opening; mouth,मुख<br>mukh
"靴<br>shoes, footwear",जुत्ता<br>jutta
靴下<br>socks,मोजा<br>moja
国<br>country; place of origin,देश<br>desh
"曇り<br>cloudiness, cloudy weather",बादल लागेको<br>badal lageko
"曇る<br>to become cloudy, to become dim",बादल लाग्नु<br>badal lagnu
"暗い<br>dark, gloomy",अँध्यारो<br>andhyaro
～くらい; ぐらい<br>approximate (quantity),जति<br>jati
クラス<br>a class,कक्षा<br>kaksha
グラム<br>gram,ग्राम<br>gram
来る<br>to come,आउनु<br>aaunu
"車<br>car, vehicle",गाडी<br>gadi
黒<br>black,कालो<br>kalo
黒い<br>black; dark,कालो<br>kalo
警官<br>police officer,प्रहरी<br>prahari
今朝<br>this morning,आज बिहान<br>aaja bihana
"消す<br>to erase, to delete, to turn off power",मेट्नु; निभाउनु<br>metnu; nibhaunu
"結構<br>splendid; enough, tolerably",राम्रो; पुग्छ<br>ramro; pugchha
結婚<br>marriage (get married),विवाह<br>bibaha
月曜日<br>Monday,सोमबार<br>sombar
玄関<br>entrance (to a house or a building),मूल ढोका<br>mul dhoka
"元気<br>health(y), energetic",स्वस्थ; जोशिलो<br>swastha; joshilo
"～個<br>counter for small items (e.g., fruits, cups)",वटा<br>wata
五<br>five,पाँच<br>paanch
"～語<br>word, language",भाषा<br>bhasha
公園<br>a park,पार्क<br>park
交差点<br>intersection,चोक<br>chowk
紅茶<br>black tea,कालो चिया<br>kalo chiya
交番<br>police box,प्रहरी चौकी<br>prahari chauki
声<br>voice,आवाज<br>awaj
"コート<br>coat; court (e.g., tennis)",कोट; कोर्ट<br>coat; court
コーヒー<br>coffee,कफी<br>coffee
"ここ<br>here, this place",यहाँ<br>yahaan
"午後<br>afternoon, P.M.",दिउँसो; अपरान्ह<br>diunso; aparanha
九日<br>nine days; ninth day of the month,नौ दिन; नौ गते<br>nau din; nau gate
九つ<br>nine things,नौ वटा<br>nau wata
"午前<br>morning, A.M.",बिहान; पूर्वान्ह<br>bihana; purbanha
"答える<br>to answer, to reply",जवाफ दिनु<br>jawaf dinu
こちら<br>this person (polite); this way (polite),यहाँ; यी<br>yahaan; yi
こっち<br>this person; this direction; this side,यता; यो तर्फ<br>yata; yo tarfa
コップ<br>a tumbler; a glass,गिलास<br>glass
今年<br>this year,यस वर्ष<br>yas barsha
言葉<br>language; word(s); expression(s),शब्द; भाषा<br>shabda; bhasha
子供<br>child(ren),बच्चा<br>bachcha
この<br>this,यो<br>yo
御飯<br>rice (cooked); meal,भात; खाना<br>bhat; khana
コピーする<br>to copy,कपि गर्नु<br>copy garnu
"困る<br>to be bothered, to have difficulty",समस्यामा पर्नु<br>samasyama parnu
これ<br>this one,यो<br>yo
"～ころ; ～ごろ<br>about, toward, approximately (time)",तिर<br>tira
今月<br>this month,यस महिना<br>yas mahina
今週<br>this week,यस हप्ता<br>yas hapta
"こんな<br>such, like this",यस्तो<br>yasto
"今晩<br>tonight, this evening",आज राति<br>aaja rati
"さあ<br>come now, well",हेर्नुहोस्<br>hernuhos
～歳<br>~ years old,वर्ष<br>barsha
財布<br>wallet,खल्ती<br>khalti
魚<br>fish,माछा<br>machha
"先<br>future; recent, previous",अघि; पहिले<br>aghi; pahile
咲く<br>to bloom,फुल्नु<br>phulnu
作文<br>essay; composition,निबन्ध<br>nibandha
"差す<br>to raise (stretch out) hands, to raise (e.g., umbrella)",ओढ्नु (छाता)<br>odhnu (chhata)
～冊<br>counter for books,खण्ड<br>khanda
"雑誌<br>magazine, journal",पत्रिका<br>patrika
砂糖<br>sugar,चिनी<br>chini
寒い<br>cold (in reference to weather),जाडो<br>jado
さ来年<br>year after next,पर्सिको साल<br>parsiko sal
"～さん<br>Mr. ~, Ms. ~",जी<br>ji
三<br>three,तीन<br>tin
"散歩<br>walk, stroll",घुमफिर<br>ghumphir
四<br>four,चार<br>char
～時<br>~ o'clock (time),बजे<br>baje
塩<br>salt,नुन<br>nun
しかし<br>however; but,तर<br>tara
時間<br>time,समय<br>samaya
～時間<br>~ hours,घण्टा<br>ghanta
"仕事<br>work, job, occupation, employment",काम<br>kaam
辞書<br>dictionary,शब्दकोश<br>shabdakosh
"静か<br>quiet, calm",शान्त<br>shanta
"下<br>under, below, beneath",तल<br>tala
七<br>seven,सात<br>saat
"質問<br>question, inquiry",प्रश्न<br>prashna
自転車<br>bicycle,साइकल<br>cycle
自動車<br>automobile,मोटर; गाडी<br>motor; gadi
死ぬ<br>to die,मर्नु<br>marnu
字引<br>dictionary,शब्दकोश<br>shabdakosh
"自分<br>myself, oneself",आफू<br>aafu
"閉まる<br>to close, to be closed",बन्द हुनु<br>banda hunu
"閉める<br>to close, to shut",बन्द गर्नु<br>banda garnu
"締める<br>to tie, to fasten, to tighten",बाँध्नु<br>bandhnu
"じゃ; じゃあ<br>well, well then",त; अनि<br>ta; ani
写真<br>a picture; a photograph,तस्बिर; फोटो<br>tasbir; photo
シャツ<br>shirt,सर्ट<br>shirt
シャワー<br>shower,शावर<br>shower
十<br>ten,दश<br>dash
"～中<br>during, while",भरि<br>bhari
～週間<br>~ weeks,हप्ता<br>hapta
授業<br>a class (of school),कक्षा<br>kaksha
宿題<br>homework,गृहकार्य<br>grihakaarya
"上手<br>be good at, skillful",निपुण; राम्रो<br>nipun; ramro
"丈夫<br>strong, solid, durable",बलियो<br>baliyo
醤油<br>soy sauce,सोया सस<br>soya sauce
"食堂<br>cafeteria, dining hall",भोजनालय<br>bhojanalaya
"知る<br>to know, to understand",थाहा पाउनु<br>thaha paunu
白<br>white,सेतो<br>seto
白い<br>white,सेतो<br>seto
～人<br>counter for people,जना<br>jana
新聞<br>newspaper,पत्रिका; अखबार<br>patrika; akhbar
水曜日<br>Wednesday,बुधबार<br>budhabar
"吸う<br>to breathe in, to suck",तान्नु<br>tannu
スカート<br>skirt,स्कर्ट<br>skirt
"好き<br>liking, fondness, love",मन पर्ने<br>man parne
"～すぎ<br>past; to exceed, ~ too much",अति; धेरै<br>ati; dherai
少ない<br>a little; a few,थोरै<br>thorai
"すぐに<br>immediately, soon",तुरुन्तै<br>turuntai
"少し<br>little, few",अलिकति<br>alikati
"涼しい<br>cool, refreshing (in reference to weather)",चिसो; सुहाउँदो<br>chiso; suhaundo
～ずつ<br>at a time,एक एक गरी<br>ek ek gari
ストーブ<br>heater (lit: stove),हिटर<br>heater
スプーン<br>spoon,चम्चा<br>chamcha
スポーツ<br>sport(s),खेलकुद<br>khelkud
ズボン<br>trousers,पाइन्ट; सुरुवाल<br>pant; suruwal
"住む<br>to reside, to live in",बस्नु<br>basnu
"する<br>to do, to try; to wear small items (e.g., necktie, watch, etc.)",गर्नु<br>garnu
座る<br>to sit,बस्नु<br>basnu
"背<br>(one's) height, stature",उचाइ<br>uchai
生徒<br>student; pupil,विद्यार्थी<br>bidyarthi
セーター<br>sweater,स्वेटर<br>sweater
石鹸<br>soap,साबुन<br>sabun
背広<br>men's suit,सूट<br>suit
狭い<br>narrow; not spacious,साँघुरो<br>sanghuro
ゼロ<br>zero,शून्य<br>shunya
千<br>thousand,हजार<br>hajar
先月<br>last month,गत महिना<br>gata mahina
先週<br>last week,गत हप्ता<br>gata hapta
"先生<br>teacher, professor; master; doctor",शिक्षक; गुरु<br>shikshak; guru
"洗濯<br>washing, laundry",कपडा धुने<br>kapada dhune
"全部<br>all, entire, whole",सबै<br>sabai
"そう; そうです<br>yes; appears, to be the case",हो; यस्तो छ<br>ho; yasto chha
"掃除<br>cleaning, sweeping",सफाइ<br>safai
"そうして; そして<br>and, like that",अनि; त्यसपछि<br>ani; tyaspachhi
"そこ<br>that place, there; bottom, sole",त्यहाँ<br>tyahaan
そちら<br>over there,त्यतातिर<br>tyatatira
そっち<br>over there,त्यता<br>tyata
"外<br>outside, exterior",बाहिर<br>bahira
その<br>that,त्यो<br>tyo
"そば<br>near, close, beside; Japanese traditional buckwheat noodle",नजिक; सोबा<br>najik; soba
空<br>sky,आकाश<br>aakash
それ<br>that one,त्यो<br>tyo
"それから<br>and then, after that",त्यसपछि<br>tyaspachhi
"それでは<br>in that situation, well then...",त्यसोभए<br>tyasobhaye
～台<br>counter for vehicles; machines,वटा<br>wata
大学<br>college; university,विश्वविद्यालय<br>bishwabidyalaya
大使館<br>embassy,दूतावास<br>dutawas
大丈夫<br>It's ok (all right); No need to worry; Everything is under control,ठीक छ<br>thik chha
"大好き<br>very like-able, like very much",धेरै मन पर्ने<br>dherai man parne
大切<br>important,महत्त्वपूर्ण<br>mahatwapurna
台所<br>kitchen,भान्सा<br>bhansa
"大変<br>very; difficult, hard",धेरै; कठिन<br>dherai; kathin
"高い<br>tall, high; expensive",अग्लो; महँगो<br>aglo; mahango
"～だけ<br>only ~, just ~, as ~",मात्र<br>matra
"沢山<br>many, much",धेरै<br>dherai
タクシー<br>taxi,ट्याक्सी<br>taxi
出す<br>to take (something) out; to hand in (something),निकाल्नु; बुझाउनु<br>nikalnu; bujhaunu
～たち<br>plural suffix,-हरू<br>-haru
立つ<br>to stand up,उभिनु<br>ubhinu
"たて<br>length, height",लम्बाइ<br>lambai
建物<br>building,भवन<br>bhawan
"楽しい<br>enjoyable, fun",रमाइलो<br>ramailo
"頼む<br>to request, to ask (a favor)",अनुरोध गर्नु<br>anurodh garnu
"たばこ<br>tobacco, cigarettes",चुरोट<br>churot
"多分<br>perhaps, probably, maybe",सायद<br>sayad
食べ物<br>food,खाना<br>khana
食べる<br>to eat,खानु<br>khanu
卵<br>egg,अण्डा<br>anda
誰<br>who,को<br>ko
誰か<br>someone,कोही<br>kohi
誕生日<br>birthday,जन्मदिन<br>janmadin
"段々<br>gradually, by degrees",बिस्तारै<br>bistarai
"小さい<br>small, little",सानो<br>sano
"小さな<br>small, little",सानो<br>sano
"近い<br>near, close by, short",नजिक<br>najik
違う<br>to be different; to differ; wrong,फरक; गलत<br>farak; galat
近く<br>nearby; in the neighborhood,नजिकै<br>najikai
"地下鉄<br>underground train, subway",मेट्रो<br>metro
地図<br>a map,नक्सा<br>naksha
父<br>(my) father,बुबा<br>buwa
茶色<br>brown,खैरो<br>khairo
茶碗<br>rice bowl,भातको कचौरा<br>bhatko kachaura
"丁度<br>just, right, exactly",ठ्याक्कै<br>thyakkain
"ちょっと<br>a little, somewhat; just a little, somewhat",अलिकति<br>alikati
使う<br>to use,प्रयोग गर्नु<br>prayog garnu
疲れる<br>to get (become) tired; to become fatigued,थकित हुनु<br>thakit hunu
次<br>next,अर्को<br>arko
"着く<br>to arrive at, to reach",पुग्नु<br>pugnu
机<br>desk,टेबल<br>table
"作る<br>to make, to create",बनाउनु<br>banaunu
"つける<br>to turn on (e.g., a light); to take",बाल्नु; लगाउनु<br>balnu; lagaunu
勤める<br>to work (for),काम गर्नु<br>kaam garnu
"つまらない<br>boring, dull; insignificant",बोरिंग<br>boring
"冷たい<br>cold (things, people)",चिसो<br>chiso
"強い<br>strong, powerful",बलियो<br>baliyo
手<br>hand,हात<br>haat
テープ<br>tape,टेप<br>tape
テープレコーダー<br>tape recorder,टेप रेकर्डर<br>tape recorder
テーブル<br>table,टेबल<br>table
出かける<br>to go out; to depart,बाहिर जानु<br>bahira jaanu
手紙<br>letter,चिठी<br>chithi
できる<br>to be able to (to accomplish),सक्नु<br>saknu
出口<br>an exit,निकास<br>nikas
テスト<br>test,परीक्षा<br>pariksha
"では<br>then, well, so",त्यसो भए<br>tyaso bhaye
デパート<br>(abbr.) department store,डिपार्टमेन्ट स्टोर<br>department store
"でも<br>but, however",तर<br>tara
"出る<br>to appear, to leave",निस्कनु<br>niskanu
"テレビ<br>television, TV",टेलिभिजन<br>television
天気<br>weather,मौसम<br>mausam
"電気<br>electricity, (electric) light",बिजुली<br>bijuli
電車<br>electric train,रेल<br>rail
電話<br>a telephone,फोन; टेलिफोन<br>phone; telephone
戸<br>door (Japanese style),ढोका<br>dhoka
～度<br>counter for occurrences; ~ degree; ~ point,पटक; डिग्री<br>patak; degree
ドア<br>door (Western style),ढोका<br>dhoka
トイレ<br>bathroom; toilet,शौचालय<br>shauchalaya
"どう<br>how, in what way",कसरी<br>kasari
"どうして<br>why, for what reason",किन<br>kina
"どうぞ<br>please, kindly, by all means",कृपया<br>kripaya
動物<br>animal,जनावर<br>janawar
どうも<br>Thank you; somehow; no matter how hard one may try,धन्यवाद; कसरी पनि<br>dhanyabad; kasari pani
"遠い<br>far (away), distant",टाढा<br>tadha
十日<br>ten days; tenth day of the month,दश दिन; दश गते<br>dash din; dash gate
時々<br>sometimes,कहिलेकाहीं<br>kahilekaheen
時計<br>a watch; a clock,घडी<br>ghadi
"どこ<br>where, what place",कहाँ<br>kahaan
所<br>place,ठाउँ<br>thaaun
"年<br>year, age",वर्ष; उमेर<br>barsha; umer
図書館<br>library,पुस्तकालय<br>pustakalaya
どちら<br>which (one) (way); where (polite),कुन; कता<br>kun; kata
"どっち<br>which one, which way",कुन; कता<br>kun; kata
"とても<br>very (much), greatly, exceedingly",धेरै<br>dherai
どなた<br>who,को<br>ko
"隣<br>next to, next door to",छिमेकी<br>chhimeki
どの<br>which,कुन<br>kun
"飛ぶ<br>to fly, to hop",उड्नु<br>udnu
止まる<br>to come to a halt,रोकिनु<br>rokinu
友達<br>friend,साथी<br>sathi
土曜日<br>Saturday,शनिबार<br>shanibar
"鳥<br>chicken (lit., bird)",चरा<br>chara
鶏肉<br>chicken meat,कुखुराको मासु<br>kukhurako masu
取る<br>to take (a class); to get (a grade),लिनु<br>linu
"撮る<br>to take (a photo), to make (a film)",खिच्नु<br>khichnu
どれ<br>which one,कुन<br>kun
"どんな<br>what, what kind of",कस्तो<br>kasto
"ない<br>there isn't, doesn't have",छैन<br>chhaina
ナイフ<br>knife,चक्कु<br>chakku
"中<br>inside, middle, among",भित्र; बीच<br>bhitra; bich
"長い<br>long, lengthy",लामो<br>lamo
鳴く<br>to make sound (animal),बोल्नु (जनावर)<br>bolnu (janawar)
無くす<br>to lose something,हराउनु<br>haraunu
なぜ<br>why (same as どうして),किन<br>kina
夏<br>summer,गर्मी<br>garmi
夏休み<br>summer vacation,गर्मीको बिदा<br>garmiko bida
～など<br>et cetera,आदि<br>aadi
七つ<br>seven things,सात वटा<br>saat wata
何<br>what,के<br>ke
七日<br>seven days; seventh day (of the month),सात दिन; सात गते<br>saat din; saat gate
名前<br>name,नाम<br>naam
習う<br>to learn,सिक्नु<br>siknu
"並ぶ<br>to line up, to stand in a line (v.i.)",लाइनमा उभिनु<br>line ma ubhinu
並べる<br>to put (things) side by side; to line up,मिलाउनु<br>milaunu
なる<br>to become,हुनु<br>hunu
何～<br>what sort of ~,कस्तो<br>kasto
二<br>two,दुई<br>dui
"にぎやか<br>bustling, busy",हलचल भरिएको<br>halchal bhariyeko
肉<br>meat,मासु<br>masu
西<br>west,पश्चिम<br>paschim
"～日<br>~ day of the month, for ~ days",गते; दिन<br>gate; din
日曜日<br>Sunday,आइतबार<br>aitabar
荷物<br>luggage; baggage,सामान<br>saman
ニュース<br>news,समाचार<br>samachar
庭<br>garden,बगैंचा<br>bagaincha
脱ぐ<br>to take off (clothes),फुकाल्नु<br>phukalnu
温い<br>lukewarm,मनासिब तातो<br>manasib tato
"ネクタイ<br>tie, necktie",टाई<br>tie
猫<br>cat,बिरालो<br>biralo
寝る<br>to sleep; to go to sleep; to go to bed,सुत्नु<br>sutnu
～年<br>~ years,वर्ष<br>barsha
ノート<br>notebook,कापी<br>kapi
登る<br>to climb,चढ्नु<br>chadhnu
"飲み物<br>drink, beverage",पिउने कुरा<br>piune kura
飲む<br>to drink,पिउनु<br>piunu
