expression,english meaning, nepali expression, pronunciation
一日,one day (duration),एक दिन,ek din
一番,"best (most), first, number one",सबैभन्दा राम्रो; पहिलो,sabai bhanda ramro; pahilo
いつ,when,कहिले,kahile
五日,five days; fifth day of the month,पाँच दिन; पाँच गते,paanch din; paanch gate
一緒,together,सँगै,sangai
五つ,five things,पाँच वटा,paanch wata
いつも,"always, usually, every time, never (with neg. verb)",सधैं,sadhai
犬,dog,कुकुर,kukur
今,now,अहिले,ahile
意味,"meaning, significance",अर्थ,artha
妹,younger sister (humble),बहिनी,bahini
嫌,"disagreeable, detestable, unpleasant",नमन पर्ने; घृणित,naman parne; ghrinit
入口,entrance,प्रवेशद्वार,praveshdwar
居る,"(humble) to be (animate), to exist",हुनु; बस्नु,hunu; basnu
要る,to need,चाहिनु,chahinu
入れる,to put in,हाल्नु,halnu
色,color,रङ,rang
色々,various,विभिन्न,bibhinna
上,"above (up, top, etc.), over, on top of",माथि,mathi
後ろ,"back, behind, rear",पछाडि,pachhadi
薄い,"thin, weak",पातलो,patalo
歌,a song,गीत,geet
歌う,to sing,गाउनु,gaunu
うち,home; house; my place,घर,ghar
生まれる,to be born,जन्मिनु,janminu
海,"sea, beach",समुद्र,samudra
売る,to sell (v.t.),बेच्नु,bechnu
うるさい,noisy; annoying,हल्लाको; झर्को लाग्दो,hallako; jharko lagdo
上着,"coat, jacket",कोट,coat
絵,a painting; a picture; a drawing,तस्बिर; चित्र,tasbir; chitra
映画,"movie, film",चलचित्र; सिनेमा,chalchitra; cinema
映画館,"movie theater, cinema",सिनेमा हल,cinema hall
英語,English (language),अंग्रेजी,angreji
ええ,yes,हो,ho
駅,station,स्टेशन,station
エレベーター,elevator,लिफ्ट,lift
～円,Yen,येन,yen
鉛筆,pencil,सिसाकलम,sisakalam
お～,honorable ~ (honorific),आदरणीय,adaraniya
美味しい,"delicious, tasty",मिठो,mitho
多い,many; there are a lot,धेरै,dherai
大きい,"big, large",ठूलो,thulo
大きな,big,ठूलो,thulo
大勢,great number of people,धेरै मानिसहरू,dherai manisharu
お母さん,mother (formal),आमा,aama
お菓子,"confections, sweets, snack",मिठाई,mithai
お金,money,पैसा,paisa
起きる,"to get up (e.g., from sleeping); to happen",उठ्नु; हुनु,uthnu; hunu
置く,to put; to lay; to place,राख्नु,rakhnu
奥さん,(someone else's) wife (hon.),श्रीमती,shrimati
お酒,sake; alcohol,रक्सी,raksi
お皿,"plate, dish",थाली,thali
伯父; 叔父さん,"uncle, middle-aged man",काका; मामा,kaka; mama
おじいさん,"grandfather, male senior citizen",हजुरबुबा,hajurbuwa
教える,"to teach, to inform, to instruct",सिकाउनु; भन्नु,sikaunu; bhannu
押す,"to push, to press, to stamp (e.g., a passport)",थिच्नु,thichnu
遅い,slow; (to be) late,ढिलो; बिस्तारै,dhilo; bistarai
お茶,(green) tea,चिया,chiya
お手洗い,"toilet, restroom, bathroom (lit., a place to wash one's hands)",शौचालय,shauchalaya
お父さん,father (formal),बुबा,buwa
弟,younger brother,भाइ,bhai
男,"man, male",पुरुष; मान्छे,purush; manchhe
男の子,boy,केटा,keta
一昨日,the day before yesterday,अस्ति,asti
おととし,year before last,अस्तिको साल,astiko sal
大人,adult,वयस्क,bayaska
お腹,stomach,पेट,pet
同じ,"same, identical",उस्तै,ustai
お兄さん,(someone else's) older brother (formal),दाजु,daaju
お姉さん,older sister (formal),दिदी,didi
伯母さん; 叔母さん,aunt,काकी; मामी,kaki; mami
おばあさん,"grandmother, female senior-citizen",हजुरआमा,hajuraama
お風呂,a bath,नुहाउने ठाउँ,nuhaune thaaun
お弁当,a boxed lunch,खाजा बाकस,khaja bakas
覚える,"to learn, to commit to memory, to remember, to memorize",सम्झनु; याद गर्नु,samjhanu; yaad garnu
おまわりさん,policeman (friendly term),प्रहरी,prahari
重い,heavy; serious,गह्रौं; गम्भीर,gahrau; gambhir
面白い,"interesting, amusing",रमाइलो,ramailo
泳ぐ,to swim,पौडिनु,paudinu
降りる,to get off,ओर्लनु,orlanu
終る,"to finish, to close",सकिनु; सिद्धिनु,sakinu; siddhinu
音楽,Music,संगीत,sangeet
女,"woman, female",महिला; आइमाई,mahila; aimai
女の子,girl,केटी,keti
～回,counter for occurrences (~ times),पटक,patak
～階,counter for stories (floors) of a building,तल्ला,talla
外国,foreign country; abroad,विदेश,bidesh
外国人,foreigner,विदेशी,bideshi
会社,"company, corporation",कम्पनी,company
階段,stairs,सिँढी,sindhi
買い物,shopping,किनमेल,kinmel
買う,to buy,किन्नु,kinnu
返す,to return something,फर्काउनु,farkaunu
帰る,"to go back, to go home, to return",फर्कनु,farkanu
顔,face (body part),अनुहार,anuhaar
かかる,"it takes (amount of time, money) (v.i.)",लाग्नु,lagnu
鍵,a lock; a key,साँचो; ताल्चा,saancho; talcha
書く,to write,लेख्नु,lekhnu
学生,student,विद्यार्थी,bidyarthi
～か月,(number of) months,महिना,mahina
掛ける,"to put on (e.g., glasses); to hang (e.g., on a wall)",लगाउनु; झुन्ड्याउनु,lagaunu; jhundyaunu
かける,"to dial/call (e.g., phone); to sit down",फोन गर्नु; बस्नु,phone garnu; basnu
傘,"umbrella, parasol",छाता,chhata
貸す,to lend,उधारो दिनु,udharo dinu
風,"wind, breeze",हावा,hawa
風邪,"cold, flu",रुघा,rugha
方,-- honorific form for 人 (ひと) --; way of doing,तरिका; व्यक्ति,tarika; byakti
家族,"family, members of a family",परिवार,pariwar
片仮名,katakana,काताकाना,katakana
～月,month of year,महिना,mahina
学校,a school,विद्यालय; स्कूल,bidyalaya; school
カップ,cup,कप,cup
家庭,home; family,घरपरिवार,gharpariwar
角,"corner (e.g., desk, pavement)",कुना,kuna
かばん,"bag, basket",झोला,jhola
花瓶,(flower) vase,फूलदानी,phuldani
かぶる,"to wear, to put on (e.g., a hat on the head)",लगाउनु,lagaunu
紙,paper,कागज,kagaj
カメラ,camera,क्यामेरा,camera
火曜日,Tuesday,मंगलबार,mangalbar
辛い,hot and spicy; salty,पिरो; नुनिलो,piro; nunilo
体,body; health,शरीर,sharir
借りる,"to borrow, to owe",सापटी लिनु,sapati linu
～がる,feel,महसुस गर्नु,mahsus garnu
軽い,"light, non-serious, minor",हल्का,halka
カレー,curry (abbr. for curry and rice),तरकारी,tarkari
カレンダー,calendar,पात्रो,patro
川; 河,river,नदी; खोला,nadi; khola
～側,~ side,तर्फ; पट्टि,tarfa; patti
可愛い,"cute, adorable",प्यारो,pyaro
漢字,kanji; Chinese character,कान्जी,kanji
木,"tree, wood, timber",रूख; काठ,rukh; kath
黄色,yellow,पहेंलो,pahelo
黄色い,yellow,पहेंलो,pahelo
消える,"to vanish, to disappear",हराउनु,haraunu
聞く,"to hear, to listen, to ask",सुन्नु,sunnu
北,north,उत्तर,uttar
ギター,guitar,गिटार,guitar
汚い,"dirty, unclean, filthy",फोहोर,fohor
喫茶店,café,क्याफे,cafe
切手,postal (postage) stamps,टिकट,tikat
切符,a ticket,टिकट,tikat
昨日,yesterday,हिजो,hijo
九,nine,नौ,nau
牛肉,beef,गाईको मासु,gaaiko masu
牛乳,milk,दूध,dudh
今日,"today, this day",आज,aaja
教室,classroom,कक्षाकोठा,kaksha kotha
兄弟,"siblings (humble), brothers and sisters",दाजुभाइ,daajubhai
去年,last year,गत वर्ष,gata barsha
嫌い,dislike,मन नपर्ने,man naparne
切る,to cut; to hang up (a phone),काट्नु,katnu
着る,to put on (clothes above your waist); to wear,लगाउनु,lagaunu
綺麗,"pretty, clean, tidy",राम्रो; सफा,ramro; safa
キロ; キログラム,(abbr.) kilo (kilogram),किलो; किलोग्राम,kilo; kilogram
キロ; キロメートル,(abbr.) kilo (kilometer),किलो; किलोमिटर,kilo; kilometer
銀行,bank,बैंक,bank
金曜日,Friday,शुक्रबार,shukrabar
薬,medicine,औषधि,aushadhi
下さい,(with te-form verb) please do for me,दिनुहोस्,dinuhos
果物,fruit,फलफूल,phalphul
口,job opening; mouth,मुख,mukh
靴,"shoes, footwear",जुत्ता,jutta
靴下,socks,मोजा,moja
国,country; place of origin,देश,desh
曇り,"cloudiness, cloudy weather",बादल लागेको,badal lageko
曇る,"to become cloudy, to become dim",बादल लाग्नु,badal lagnu
暗い,"dark, gloomy",अँध्यारो,andhyaro
～くらい; ぐらい,approximate (quantity),जति,jati
クラス,a class,कक्षा,kaksha
グラム,gram,ग्राम,gram
来る,to come,आउनु,aaunu
車,"car, vehicle",गाडी,gadi
黒,black,कालो,kalo
黒い,black; dark,कालो,kalo
警官,police officer,प्रहरी,prahari
今朝,this morning,आज बिहान,aaja bihana
消す,"to erase, to delete, to turn off power",मेट्नु; निभाउनु,metnu; nibhaunu
結構,"splendid; enough, tolerably",राम्रो; पुग्छ,ramro; pugchha
結婚,marriage (get married),विवाह,bibaha
月曜日,Monday,सोमबार,sombar
玄関,entrance (to a house or a building),मूल ढोका,mul dhoka
元気,"health(y), energetic",स्वस्थ; जोशिलो,swastha; joshilo
～個,"counter for small items (e.g., fruits, cups)",वटा,wata
五,five,पाँच,paanch
～語,"word, language",भाषा,bhasha
公園,a park,पार्क,park
交差点,intersection,चोक,chowk
紅茶,black tea,कालो चिया,kalo chiya
交番,police box,प्रहरी चौकी,prahari chauki
声,voice,आवाज,awaj
コート,"coat; court (e.g., tennis)",कोट; कोर्ट,coat; court
コーヒー,coffee,कफी,coffee
ここ,"here, this place",यहाँ,yahaan
午後,"afternoon, P.M.",दिउँसो; अपरान्ह,diunso; aparanha
九日,nine days; ninth day of the month,नौ दिन; नौ गते,nau din; nau gate
九つ,nine things,नौ वटा,nau wata
午前,"morning, A.M.",बिहान; पूर्वान्ह,bihana; purbanha
答える,"to answer, to reply",जवाफ दिनु,jawaf dinu
こちら,this person (polite); this way (polite),यहाँ; यी,yahaan; yi
こっち,this person; this direction; this side,यता; यो तर्फ,yata; yo tarfa
コップ,a tumbler; a glass,गिलास,glass
今年,this year,यस वर्ष,yas barsha
言葉,language; word(s); expression(s),शब्द; भाषा,shabda; bhasha
子供,child(ren),बच्चा,bachcha
この,this,यो,yo
御飯,rice (cooked); meal,भात; खाना,bhat; khana
コピーする,to copy,कपि गर्नु,copy garnu
困る,"to be bothered, to have difficulty",समस्यामा पर्नु,samasyama parnu
これ,this one,यो,yo
～ころ; ～ごろ,"about, toward, approximately (time)",तिर,tira
今月,this month,यस महिना,yas mahina
今週,this week,यस हप्ता,yas hapta
こんな,"such, like this",यस्तो,yasto
今晩,"tonight, this evening",आज राति,aaja rati
さあ,"come now, well",हेर्नुहोस्,hernuhos
～歳,~ years old,वर्ष,barsha
財布,wallet,खल्ती,khalti
魚,fish,माछा,machha
先,"future; recent, previous",अघि; पहिले,aghi; pahile
咲く,to bloom,फुल्नु,phulnu
作文,essay; composition,निबन्ध,nibandha
差す,"to raise (stretch out) hands, to raise (e.g., umbrella)",ओढ्नु (छाता),odhnu (chhata)
～冊,counter for books,खण्ड,khanda
雑誌,"magazine, journal",पत्रिका,patrika
砂糖,sugar,चिनी,chini
寒い,cold (in reference to weather),जाडो,jado
さ来年,year after next,पर्सिको साल,parsiko sal
～さん,"Mr. ~, Ms. ~",जी,ji
三,three,तीन,tin
散歩,"walk, stroll",घुमफिर,ghumphir
四,four,चार,char
～時,~ o'clock (time),बजे,baje
塩,salt,नुन,nun
しかし,however; but,तर,tara
時間,time,समय,samaya
～時間,~ hours,घण्टा,ghanta
仕事,"work, job, occupation, employment",काम,kaam
辞書,dictionary,शब्दकोश,shabdakosh
静か,"quiet, calm",शान्त,shanta
下,"under, below, beneath",तल,tala
七,seven,सात,saat
質問,"question, inquiry",प्रश्न,prashna
自転車,bicycle,साइकल,cycle
自動車,automobile,मोटर; गाडी,motor; gadi
死ぬ,to die,मर्नु,marnu
字引,dictionary,शब्दकोश,shabdakosh
自分,"myself, oneself",आफू,aafu
閉まる,"to close, to be closed",बन्द हुनु,banda hunu
閉める,"to close, to shut",बन्द गर्नु,banda garnu
締める,"to tie, to fasten, to tighten",बाँध्नु,bandhnu
じゃ; じゃあ,"well, well then",त; अनि,ta; ani
写真,a picture; a photograph,तस्बिर; फोटो,tasbir; photo
シャツ,shirt,सर्ट,shirt
シャワー,shower,शावर,shower
十,ten,दश,dash
～中,"during, while",भरि,bhari
～週間,~ weeks,हप्ता,hapta
授業,a class (of school),कक्षा,kaksha
宿題,homework,गृहकार्य,grihakaarya
上手,"be good at, skillful",निपुण; राम्रो,nipun; ramro
丈夫,"strong, solid, durable",बलियो,baliyo
醤油,soy sauce,सोया सस,soya sauce
食堂,"cafeteria, dining hall",भोजनालय,bhojanalaya
知る,"to know, to understand",थाहा पाउनु,thaha paunu
白,white,सेतो,seto
白い,white,सेतो,seto
～人,counter for people,जना,jana
新聞,newspaper,पत्रिका; अखबार,patrika; akhbar
水曜日,Wednesday,बुधबार,budhabar
吸う,"to breathe in, to suck",तान्नु,tannu
スカート,skirt,स्कर्ट,skirt
好き,"liking, fondness, love",मन पर्ने,man parne
～すぎ,"past; to exceed, ~ too much",अति; धेरै,ati; dherai
少ない,a little; a few,थोरै,thorai
すぐに,"immediately, soon",तुरुन्तै,turuntai
少し,"little, few",अलिकति,alikati
涼しい,"cool, refreshing (in reference to weather)",चिसो; सुहाउँदो,chiso; suhaundo
～ずつ,at a time,एक एक गरी,ek ek gari
ストーブ,heater (lit: stove),हिटर,heater
スプーン,spoon,चम्चा,chamcha
スポーツ,sport(s),खेलकुद,khelkud
ズボン,trousers,पाइन्ट; सुरुवाल,pant; suruwal
住む,"to reside, to live in",बस्नु,basnu
する,"to do, to try; to wear small items (e.g., necktie, watch, etc.)",गर्नु,garnu
座る,to sit,बस्नु,basnu
背,"(one's) height, stature",उचाइ,uchai
生徒,student; pupil,विद्यार्थी,bidyarthi
セーター,sweater,स्वेटर,sweater
石鹸,soap,साबुन,sabun
背広,men's suit,सूट,suit
狭い,narrow; not spacious,साँघुरो,sanghuro
ゼロ,zero,शून्य,shunya
千,thousand,हजार,hajar
先月,last month,गत महिना,gata mahina
先週,last week,गत हप्ता,gata hapta
先生,"teacher, professor; master; doctor",शिक्षक; गुरु,shikshak; guru
洗濯,"washing, laundry",कपडा धुने,kapada dhune
全部,"all, entire, whole",सबै,sabai
そう; そうです,"yes; appears, to be the case",हो; यस्तो छ,ho; yasto chha
掃除,"cleaning, sweeping",सफाइ,safai
そうして; そして,"and, like that",अनि; त्यसपछि,ani; tyaspachhi
そこ,"that place, there; bottom, sole",त्यहाँ,tyahaan
そちら,over there,त्यतातिर,tyatatira
そっち,over there,त्यता,tyata
外,"outside, exterior",बाहिर,bahira
その,that,त्यो,tyo
そば,"near, close, beside; Japanese traditional buckwheat noodle",नजिक; सोबा,najik; soba
空,sky,आकाश,aakash
それ,that one,त्यो,tyo
それから,"and then, after that",त्यसपछि,tyaspachhi
それでは,"in that situation, well then...",त्यसोभए,tyasobhaye
～台,counter for vehicles; machines,वटा,wata
大学,college; university,विश्वविद्यालय,bishwabidyalaya
大使館,embassy,दूतावास,dutawas
大丈夫,It's ok (all right); No need to worry; Everything is under control,ठीक छ,thik chha
大好き,"very like-able, like very much",धेरै मन पर्ने,dherai man parne
大切,important,महत्त्वपूर्ण,mahatwapurna
台所,kitchen,भान्सा,bhansa
大変,"very; difficult, hard",धेरै; कठिन,dherai; kathin
高い,"tall, high; expensive",अग्लो; महँगो,aglo; mahango
～だけ,"only ~, just ~, as ~",मात्र,matra
沢山,"many, much",धेरै,dherai
タクシー,taxi,ट्याक्सी,taxi
出す,to take (something) out; to hand in (something),निकाल्नु; बुझाउनु,nikalnu; bujhaunu
～たち,plural suffix,-हरू,-haru
立つ,to stand up,उभिनु,ubhinu
たて,"length, height",लम्बाइ,lambai
建物,building,भवन,bhawan
楽しい,"enjoyable, fun",रमाइलो,ramailo
頼む,"to request, to ask (a favor)",अनुरोध गर्नु,anurodh garnu
たばこ,"tobacco, cigarettes",चुरोट,churot
多分,"perhaps, probably, maybe",सायद,sayad
食べ物,food,खाना,khana
食べる,to eat,खानु,khanu
卵,egg,अण्डा,anda
誰,who,को,ko
誰か,someone,कोही,kohi
誕生日,birthday,जन्मदिन,janmadin
段々,"gradually, by degrees",बिस्तारै,bistarai
小さい,"small, little",सानो,sano
小さな,"small, little",सानो,sano
近い,"near, close by, short",नजिक,najik
違う,to be different; to differ; wrong,फरक; गलत,farak; galat
近く,nearby; in the neighborhood,नजिकै,najikai
地下鉄,"underground train, subway",मेट्रो,metro
地図,a map,नक्सा,naksha
父,(my) father,बुबा,buwa
茶色,brown,खैरो,khairo
茶碗,rice bowl,भातको कचौरा,bhatko kachaura
丁度,"just, right, exactly",ठ्याक्कै,thyakkain
ちょっと,"a little, somewhat; just a little, somewhat",अलिकति,alikati
使う,to use,प्रयोग गर्नु,prayog garnu
疲れる,to get (become) tired; to become fatigued,थकित हुनु,thakit hunu
次,next,अर्को,arko
着く,"to arrive at, to reach",पुग्नु,pugnu
机,desk,टेबल,table
作る,"to make, to create",बनाउनु,banaunu
つける,"to turn on (e.g., a light); to take",बाल्नु; लगाउनु,balnu; lagaunu
勤める,to work (for),काम गर्नु,kaam garnu
つまらない,"boring, dull; insignificant",बोरिंग,boring
冷たい,"cold (things, people)",चिसो,chiso
強い,"strong, powerful",बलियो,baliyo
手,hand,हात,haat
テープ,tape,टेप,tape
テープレコーダー,tape recorder,टेप रेकर्डर,tape recorder
テーブル,table,टेबल,table
出かける,to go out; to depart,बाहिर जानु,bahira jaanu
手紙,letter,चिठी,chithi
できる,to be able to (to accomplish),सक्नु,saknu
出口,an exit,निकास,nikas
テスト,test,परीक्षा,pariksha
では,"then, well, so",त्यसो भए,tyaso bhaye
デパート,(abbr.) department store,डिपार्टमेन्ट स्टोर,department store
でも,"but, however",तर,tara
出る,"to appear, to leave",निस्कनु,niskanu
テレビ,"television, TV",टेलिभिजन,television
天気,weather,मौसम,mausam
電気,"electricity, (electric) light",बिजुली,bijuli
電車,electric train,रेल,rail
電話,a telephone,फोन; टेलिफोन,phone; telephone
戸,door (Japanese style),ढोका,dhoka
～度,counter for occurrences; ~ degree; ~ point,पटक; डिग्री,patak; degree
ドア,door (Western style),ढोका,dhoka
トイレ,bathroom; toilet,शौचालय,shauchalaya
どう,"how, in what way",कसरी,kasari
どうして,"why, for what reason",किन,kina
どうぞ,"please, kindly, by all means",कृपया,kripaya
動物,animal,जनावर,janawar
どうも,Thank you; somehow; no matter how hard one may try,धन्यवाद; कसरी पनि,dhanyabad; kasari pani
遠い,"far (away), distant",टाढा,tadha
十日,ten days; tenth day of the month,दश दिन; दश गते,dash din; dash gate
時々,sometimes,कहिलेकाहीं,kahilekaheen
時計,a watch; a clock,घडी,ghadi
どこ,"where, what place",कहाँ,kahaan
所,place,ठाउँ,thaaun
年,"year, age",वर्ष; उमेर,barsha; umer
図書館,library,पुस्तकालय,pustakalaya
どちら,which (one) (way); where (polite),कुन; कता,kun; kata
どっち,"which one, which way",कुन; कता,kun; kata
とても,"very (much), greatly, exceedingly",धेरै,dherai
どなた,who,को,ko
隣,"next to, next door to",छिमेकी,chhimeki
どの,which,कुन,kun
飛ぶ,"to fly, to hop",उड्नु,udnu
止まる,to come to a halt,रोकिनु,rokinu
友達,friend,साथी,sathi
土曜日,Saturday,शनिबार,shanibar
鳥,"chicken (lit., bird)",चरा,chara
鶏肉,chicken meat,कुखुराको मासु,kukhurako masu
取る,to take (a class); to get (a grade),लिनु,linu
撮る,"to take (a photo), to make (a film)",खिच्नु,khichnu
どれ,which one,कुन,kun
どんな,"what, what kind of",कस्तो,kasto
ない,"there isn't, doesn't have",छैन,chhaina
ナイフ,knife,चक्कु,chakku
中,"inside, middle, among",भित्र; बीच,bhitra; bich
長い,"long, lengthy",लामो,lamo
鳴く,to make sound (animal),बोल्नु (जनावर),bolnu (janawar)
無くす,to lose something,हराउनु,haraunu
なぜ,why (same as どうして),किन,kina
夏,summer,गर्मी,garmi
夏休み,summer vacation,गर्मीको बिदा,garmiko bida
～など,et cetera,आदि,aadi
七つ,seven things,सात वटा,saat wata
何,what,के,ke
七日,seven days; seventh day (of the month),सात दिन; सात गते,saat din; saat gate
名前,name,नाम,naam
習う,to learn,सिक्नु,siknu
並ぶ,"to line up, to stand in a line (v.i.)",लाइनमा उभिनु,line ma ubhinu
並べる,to put (things) side by side; to line up,मिलाउनु,milaunu
なる,to become,हुनु,hunu
何～,what sort of ~,कस्तो,kasto
二,two,दुई,dui
にぎやか,"bustling, busy",हलचल भरिएको,halchal bhariyeko
肉,meat,मासु,masu
西,west,पश्चिम,paschim
～日,"~ day of the month, for ~ days",गते; दिन,gate; din
日曜日,Sunday,आइतबार,aitabar
荷物,luggage; baggage,सामान,saman
ニュース,news,समाचार,samachar
庭,garden,बगैंचा,bagaincha
脱ぐ,to take off (clothes),फुकाल्नु,phukalnu
温い,lukewarm,मनासिब तातो,manasib tato
ネクタイ,"tie, necktie",टाई,tie
猫,cat,बिरालो,biralo
寝る,to sleep; to go to sleep; to go to bed,सुत्नु,sutnu
～年,~ years,वर्ष,barsha
ノート,notebook,कापी,kapi
登る,to climb,चढ्नु,chadhnu
飲み物,"drink, beverage",पिउने कुरा,piune kura
飲む,to drink,पिउनु,piunu
乗る,"to get on, to ride in, to board",चढ्नु,chadhnu
歯,tooth,दाँत,daat
パーティー,a party,पार्टी,party
はい,yes,हो,ho
～杯,counter for cupfuls,कप,cup
灰皿,ashtray,खरानीदानी,kharanidani
入る,"to enter, to contain, to hold",पस्नु,pasnu
葉書,postcard,पोस्टकार्ड,postcard
はく,to put on (items below your waist),लगाउनु,lagaunu
箱,box,बाकस,bakas
橋,bridge,पुल,pul
箸,chopsticks,चपस्टिक,chopstick
始まる,(something) begins,सुरु हुनु,suru hunu
初め; 始め,"beginning, start",सुरुवात,suruwat
初めて,for the first time,पहिलो पटक,pahilo patak
走る,to run,दौडनु,daudnu
バス,bus; bath; bass,बस,bus
バター,butter,मख्खन,makkhan
二十歳,20 years old,बीस वर्ष,bis barsha
働く,to work,काम गर्नु,kaam garnu
八,eight,आठ,aath
二十日,"twenty days, twentieth (day of the month)",बीस दिन; बीस गते,bis din; bis gate
花,flower,फूल,phul
鼻,nose,नाक,nak
話,"talk (chat), story",कुरा; कथा,kura; katha
話す,to speak,बोल्नु,bolnu
母,(my) mother,आमा,aama
早い,early,चाँडो,chando
速い,"fast, quick",छिटो,chhito
春,spring,वसन्त ऋतु,basanta ritu
貼る,to post; to paste; to attach,टाँस्नु,taasnu
晴れ,clear (sunny) weather,खुला मौसम,khula mausam
晴れる,to be sunny,घाम लाग्नु,gham lagnu
半,"half (e.g., にじはん | half-past two)",आधा,aadha
晩,evening,साँझ,saanjh
～番,~st; ~th best,नम्बर,number
パン,bread,रोटी; पाउरोटी,roti; pauroti
ハンカチ,handkerchief,रुमाल,rumal
番号,"number, series of digits",नम्बर,number
晩御飯,"dinner, evening meal",बेलुकाको खाना,belukako khana
半分,half,आधा,aadha
東,east,पूर्व,purba
～匹,counter for small animals,वटा,wata
引く,"to pull, to draw; subtract",तान्नु,tannu
弾く,to play (a string instrument or piano),बजाउनु,bajaunu
低い,"short, low",होचो,hocho
飛行機,airplane,हवाइजहाज,hawaijahaj
左,left hand side,बायाँ,bayaan
人,"man, person",मान्छे,manchhe
一つ,one thing,एउटा,euta
一月,one month,एक महिना,ek mahina
一人,one person,एक जना,ek jana
暇,"free time, leisure",खाली समय,khali samaya
百,hundred,सय,saya
病院,hospital,अस्पताल,aspatal
病気,illness; sickness,रोग; बिरामी,rog; birami
平仮名,hiragana,हिरागाना,hiragana
昼,"noon, daytime",दिउँसो,diunso
昼御飯,"lunch, midday meal",दिउँसोको खाना,diunsoko khana
広い,spacious; wide; broad,फराकिलो,pharakilo
フィルム,film (roll of),फिल्म,film
封筒,envelope,खाम,kham
プール,swimming pool,पौडी पोखरी,paudi pokhari
フォーク,fork,काँटा,kaanta
吹く,"to blow (wind, etc.)",बताउनु,bataunu
服,clothes,लुगा,luga
二つ,two things,दुई वटा,dui wata
豚肉,pork,सुँगुरको मासु,sungurko masu
二人,two people,दुई जना,dui jana
二日,two days; second day of the month,दुई दिन; दुई गते,dui din; dui gate
太い,"fat, thick",मोटो,moto
冬,winter,जाडो; हिउँद,jado; hiund
降る,"to precipitate, to fall (e.g., rain, snow, etc.)",पर्नु,parnu
古い,"old (in reference to objects, not people), aged, ancient",पुरानो,purano
～分,~ minutes,मिनेट,minute
文章,"sentence, text",वाक्य,bakya
ページ,a page,पृष्ठ,pristha
下手,"unskillful, poor",कमजोर,kamjor
ベッド,bed,खाट,khat
ペット,pet,पाल्तु जनावर,paltu janawar
部屋,a room,कोठा,kotha
辺,"area, vicinity",क्षेत्र,kshetra
ペン,pen,कलम,kalam
勉強,study,अध्ययन; पढाइ,adhyayan; padhai
便利,"convenient, handy",सजिलो,sajilo
帽子,hat; cap,टोपी,topi
ボールペン,ball-point pen,बल पेन,ball pen
ポケット,pocket,खल्ती,khalti
欲しい,"to want, in need of",चाहिने,chahine
ポスト,"mailbox; post, position",हुलाक बाकस; पद,hulak bakas; pad
細い,"thin, slender, fine",पातलो,patalo
ボタン,button,बटन,button
ホテル,hotel,होटल,hotel
本,book,किताब,kitab
～本,counter for long cylindrical things,वटा,wata
